producto_original,producto_normalizado
COCTEL DE FRUTA IMP,COCTEL DE FRUTA IMP
FRESA PORCION,FRESA PORCION
GINGER BEER,GINGER BEER
HIERBABUENA,HIERBABUENA
JARABE DE GOMA,JARABE DE GOMA
JUGO BOT,JUGO
JUGO DE NARANJA,JUGO DE NARANJA
JUGO DESECHABLES,JUGO DESECHABLES
LECHE CONDENSADA LATA DE 397 G,LECHE CONDENSADA LATA DE 397
LECHOZA PORCION,LECHOZA PORCION
LICOR CACAO,LICOR CACAO
LICOR CAFE OLMOR,LICOR CAFE OLMOR
MALTA,MALTA
MALTA DESECHABLE 250ML,MALTA DESECHABLE
MELON EN TROZOS KG,MELON EN TROZOS KG
MINI VINO ESPUMANTE MIA ROSE,MINI VINO ESPUMANTE MIA ROSE
MORA PORCION,MORA PORCION
PIÑA EN TROZOS,PIÑA EN TROZOS
PULPA DE DURAZNO,PULPA DE DURAZNO
PULPA DE FRUTAS,PULPA DE FRUTAS
PULPA DE PARCHITA,PULPA DE PARCHITA
RED BULL BEBIDA ENERGETICA,RED BULL BEBIDA ENERGETICA
REFRESCO 1 5,REFRESCO 1 5
REFRESCO 7 UP 1 5,REFRESCO 7 UP 1 5
REFRESCO BOMBITA 355 ML,REFRESCO BOMBITA
REFRESCO BOT 350 ML,REFRESCO
REFRESCO DE LATA 355ML,REFRESCO DE LATA
REFRESCO DESECHABLE 255 ML,REFRESCO DESECHABLE
REFRESCO KOLA 1 5,REFRESCO KOLA 1 5
REFRESCO PEPSI 2LITROS,REFRESCO PEPSI 2LITROS
SAMBUCA GRECO 0.75,SAMBUCA GRECO 0 75
SODA,SODA
SPEED MAX,SPEED MAX
TE DE INFUSIONES COCTELES,TE DE INFUSIONES COCTELES
VB POMAR,VB POMAR
VODKA FRIA FRESA 0 70L,VODKA FRIA FRESA 0 70
VT SEÑORIO UNX BOT,VT SEÑORIO UNX
WHISKY MONJES 0.75,WHISKY MONJES 0 75
ZUMO DE LIMON,ZUMO DE LIMON
ZUMO DE PARCHITA,ZUMO DE PARCHITA
